Nr;Dzien;Godzina;Temperatura
87;17.11.2022;08:09;4
88;17.11.2022;08:21;4.2
89;17.11.2022;08:33;4.1
90;17.11.2022;08:45;4.3
91;17.11.2022;08:57;4.4
92;17.11.2022;09:09;4.4
93;17.11.2022;09:21;4.3
94;17.11.2022;09:33;4.2
95;17.11.2022;09:45;4.2
96;17.11.2022;09:57;4.1
97;17.11.2022;10:09;4
98;17.11.2022;10:21;3.9
99;17.11.2022;10:33;3.8
100;17.11.2022;10:45;3.9
101;17.11.2022;10:57;4
102;17.11.2022;11:09;3.8
103;17.11.2022;11:21;3.7
104;17.11.2022;11:33;3.5
105;17.11.2022;11:45;3.4
106;17.11.2022;11:57;3.5
107;17.11.2022;12:09;3.4
108;17.11.2022;12:21;3.4
109;17.11.2022;12:33;3.3
110;17.11.2022;12:45;3.2
111;17.11.2022;12:57;3.3
112;17.11.2022;13:09;3.4
113;17.11.2022;13:21;3.4
114;17.11.2022;13:33;3.3
115;17.11.2022;13:45;3.2
116;17.11.2022;13:57;3.1
117;17.11.2022;14:09;3.2
118;17.11.2022;14:21;3.1
119;17.11.2022;14:33;3.1
120;17.11.2022;14:45;3
121;17.11.2022;14:57;2.9
122;17.11.2022;15:09;3
123;17.11.2022;15:21;3.1
124;17.11.2022;15:33;2.9
125;17.11.2022;15:45;3
126;17.11.2022;15:57;2.9
127;17.11.2022;16:09;2.9
128;17.11.2022;16:21;2.8
129;17.11.2022;16:33;2.9
130;17.11.2022;16:45;3
131;17.11.2022;16:57;2.8
132;17.11.2022;17:09;2.9
133;17.11.2022;17:21;2.9
134;17.11.2022;17:33;3
135;17.11.2022;17:45;3.1
136;17.11.2022;17:57;3
137;17.11.2022;18:09;3
138;17.11.2022;18:21;2.8
139;17.11.2022;18:33;2.9
140;17.11.2022;18:45;2.9
141;17.11.2022;18:57;2.8
142;17.11.2022;19:09;2.6
143;17.11.2022;19:21;2.7
144;17.11.2022;19:33;2.6
145;17.11.2022;19:45;2.5
146;17.11.2022;19:57;2.6
147;17.11.2022;20:09;2.7
148;17.11.2022;20:21;2.7
149;17.11.2022;20:33;2.6
150;17.11.2022;20:45;2.5
151;17.11.2022;20:57;2.6
152;17.11.2022;21:09;2.5
153;17.11.2022;21:21;2.5
154;17.11.2022;21:33;2.6
155;17.11.2022;21:45;2.7
156;17.11.2022;21:57;2.6
157;17.11.2022;22:09;2.4
158;17.11.2022;22:21;2.5
159;17.11.2022;22:33;2.4
160;17.11.2022;22:45;2.5
161;17.11.2022;22:57;2.6
162;17.11.2022;23:09;2.6
163;17.11.2022;23:21;2.4
164;17.11.2022;23:33;2.3
165;17.11.2022;23:45;2.2
166;17.11.2022;23:57;2.3
167;18.11.2022;00:09;2.3
168;18.11.2022;00:21;2.2
169;18.11.2022;00:33;2.4
170;18.11.2022;00:45;2.3
171;18.11.2022;00:57;2.4
172;18.11.2022;01:09;2.5
173;18.11.2022;01:21;2.6
174;18.11.2022;01:33;2.7
175;18.11.2022;01:45;2.6
176;18.11.2022;01:57;2.7
177;18.11.2022;02:09;2.7
178;18.11.2022;02:21;2.8
179;18.11.2022;02:33;2.9
180;18.11.2022;02:45;3
181;18.11.2022;02:57;2.9
182;18.11.2022;03:09;3.1
183;18.11.2022;03:21;3
184;18.11.2022;03:33;2.9
185;18.11.2022;03:45;2.8
186;18.11.2022;03:57;2.7
187;18.11.2022;04:09;2.5
188;18.11.2022;04:21;2.4
189;18.11.2022;04:33;2.2
190;18.11.2022;04:45;2.1
191;18.11.2022;04:57;2.1
192;18.11.2022;05:09;2
193;18.11.2022;05:21;1.9
194;18.11.2022;05:33;1.8
195;18.11.2022;05:45;1.8
196;18.11.2022;05:57;1.9
197;18.11.2022;06:09;2
198;18.11.2022;06:21;2.1
199;18.11.2022;06:33;1.9
200;18.11.2022;06:45;2
201;18.11.2022;06:57;2
202;18.11.2022;07:09;2.2
203;18.11.2022;07:21;2.1
204;18.11.2022;07:33;2
205;18.11.2022;07:45;2.2
206;18.11.2022;07:57;2.1
207;18.11.2022;08:09;2
208;18.11.2022;08:21;1.9
209;18.11.2022;08:33;2
210;18.11.2022;08:45;1.9
211;18.11.2022;08:57;2.1
212;18.11.2022;09:09;2
213;18.11.2022;09:21;1.8
214;18.11.2022;09:33;1.7
215;18.11.2022;09:45;1.7
216;18.11.2022;09:57;1.6
217;18.11.2022;10:09;1.7
218;18.11.2022;10:21;1.8
219;18.11.2022;10:33;1.8
220;18.11.2022;10:45;1.9
221;18.11.2022;10:57;2
222;18.11.2022;11:09;1.9
223;18.11.2022;11:21;2
224;18.11.2022;11:33;1.8
225;18.11.2022;11:45;1.9
226;18.11.2022;11:57;2
227;18.11.2022;12:09;2.1
228;18.11.2022;12:21;2.2
229;18.11.2022;12:33;2.3
230;18.11.2022;12:45;2.2
231;18.11.2022;12:57;2.3
232;18.11.2022;13:09;2.1
233;18.11.2022;13:21;2
234;18.11.2022;13:33;2
235;18.11.2022;13:45;2.1
236;18.11.2022;13:57;2.2
237;18.11.2022;14:09;2.2
238;18.11.2022;14:21;2.3
239;18.11.2022;14:33;2.2
240;18.11.2022;14:45;2.1
241;18.11.2022;14:57;2
242;18.11.2022;15:09;1.9
243;18.11.2022;15:21;1.8
244;18.11.2022;15:33;1.6
245;18.11.2022;15:45;1.7
246;18.11.2022;15:57;1.6
247;18.11.2022;16:09;1.7
248;18.11.2022;16:21;1.8
249;18.11.2022;16:33;1.8
250;18.11.2022;16:45;1.9
251;18.11.2022;16:57;2
252;18.11.2022;17:09;2.1
253;18.11.2022;17:21;2.1
254;18.11.2022;17:33;2
255;18.11.2022;17:45;2.2
256;18.11.2022;17:57;2.3
257;18.11.2022;18:09;2.2
258;18.11.2022;18:21;2.2
259;18.11.2022;18:33;2
260;18.11.2022;18:45;1.9
261;18.11.2022;18:57;2
262;18.11.2022;19:09;1.9
263;18.11.2022;19:21;1.9
264;18.11.2022;19:33;2.1
265;18.11.2022;19:45;2
266;18.11.2022;19:57;1.8
267;18.11.2022;20:09;1.9
268;18.11.2022;20:21;1.8
269;18.11.2022;20:33;1.7
270;18.11.2022;20:45;1.6
271;18.11.2022;20:57;1.7
272;18.11.2022;21:09;1.6
273;18.11.2022;21:21;1.6
274;18.11.2022;21:33;1.4
275;18.11.2022;21:45;1.4
276;18.11.2022;21:57;1.5
277;18.11.2022;22:09;1.6
278;18.11.2022;22:21;1.5
279;18.11.2022;22:33;1.4
280;18.11.2022;22:45;1.4
281;18.11.2022;22:57;1.3
282;18.11.2022;23:09;1.4
283;18.11.2022;23:21;1.5
284;18.11.2022;23:33;1.5
285;18.11.2022;23:45;1.4
286;18.11.2022;23:57;1.3
287;19.11.2022;00:09;1.4
288;19.11.2022;00:21;1.4
289;19.11.2022;00:33;1.3
290;19.11.2022;00:45;1.4
291;19.11.2022;00:57;1.2
292;19.11.2022;01:09;1.3
293;19.11.2022;01:21;1.3
294;19.11.2022;01:33;1
295;19.11.2022;01:45;1
296;19.11.2022;01:57;1.2
297;19.11.2022;02:09;1.3
298;19.11.2022;02:21;1.3
299;19.11.2022;02:33;1.3
300;19.11.2022;02:45;1.2
301;19.11.2022;02:57;1.1
302;19.11.2022;03:09;1.1
303;19.11.2022;03:21;1.5
304;19.11.2022;03:33;1.1
305;19.11.2022;03:45;1.2
306;19.11.2022;03:57;1.1
307;19.11.2022;04:09;1.3
308;19.11.2022;04:21;1.1
309;19.11.2022;04:33;1.3
310;19.11.2022;04:45;1.4
311;19.11.2022;04:57;1.3
312;19.11.2022;05:09;1.4
313;19.11.2022;05:21;1.1
314;19.11.2022;05:33;1.4
315;19.11.2022;05:45;1.2
316;19.11.2022;05:57;1.3
317;19.11.2022;06:09;1.1
318;19.11.2022;06:21;1.3
319;19.11.2022;06:33;1.2
320;19.11.2022;06:45;1.2
321;19.11.2022;06:57;1.4
322;19.11.2022;07:09;1
323;19.11.2022;07:21;1.1
324;19.11.2022;07:33;1.4
325;19.11.2022;07:45;1
326;19.11.2022;07:57;1.3
327;19.11.2022;08:09;1.2
328;19.11.2022;08:21;1.3
329;19.11.2022;08:33;1.4
330;19.11.2022;08:45;1.1
331;19.11.2022;08:57;1.1
332;19.11.2022;09:09;1.4
333;19.11.2022;09:21;1.1
334;19.11.2022;09:33;1.4
335;19.11.2022;09:45;1.4
336;19.11.2022;09:57;1.4
337;19.11.2022;10:09;1.4
338;19.11.2022;10:21;1.4
339;19.11.2022;10:33;1
340;19.11.2022;10:45;1.5
341;19.11.2022;10:57;1.5
342;19.11.2022;11:09;1.4
343;19.11.2022;11:21;1.3
344;19.11.2022;11:33;1.1
345;19.11.2022;11:45;1.2
346;19.11.2022;11:57;1.4
347;19.11.2022;12:09;1.3
348;19.11.2022;12:21;1.2
349;19.11.2022;12:33;1.1
350;19.11.2022;12:45;1.2
351;19.11.2022;12:57;1
352;19.11.2022;13:09;1.1
353;19.11.2022;13:21;1
354;19.11.2022;13:33;1.2
355;19.11.2022;13:45;1.2
356;19.11.2022;13:57;1.1
357;19.11.2022;14:09;1.5
358;19.11.2022;14:21;1.5
359;19.11.2022;14:33;1.2
360;19.11.2022;14:45;1.1
361;19.11.2022;14:57;1.4
362;19.11.2022;15:09;1.4
363;19.11.2022;15:21;1.5
364;19.11.2022;15:33;1.1
365;19.11.2022;15:45;1.3
366;19.11.2022;15:57;1.1
367;19.11.2022;16:09;1.1
368;19.11.2022;16:21;1.4
369;19.11.2022;16:33;1.2
370;19.11.2022;16:45;1.3
371;19.11.2022;16:57;1.2
372;19.11.2022;17:09;1.2
373;19.11.2022;17:21;1.4
374;19.11.2022;17:33;1.1
375;19.11.2022;17:45;1.2
376;19.11.2022;17:57;1.1
377;19.11.2022;18:09;1.4
378;19.11.2022;18:21;1.4
379;19.11.2022;18:33;1.4
380;19.11.2022;18:45;1.3
381;19.11.2022;18:57;1.1
382;19.11.2022;19:09;1.2
383;19.11.2022;19:21;1.3
384;19.11.2022;19:33;1.2
385;19.11.2022;19:45;1.5
386;19.11.2022;19:57;1.1
387;19.11.2022;20:09;1.2
388;19.11.2022;20:21;1.5
389;19.11.2022;20:33;1.3
390;19.11.2022;20:45;1.4
391;19.11.2022;20:57;1.5
392;19.11.2022;21:09;1.4
393;19.11.2022;21:21;1
394;19.11.2022;21:33;1.3
395;19.11.2022;21:45;1.4
396;19.11.2022;21:57;1.3
397;19.11.2022;22:09;1.2
398;19.11.2022;22:21;1.4
399;19.11.2022;22:33;1.4
400;19.11.2022;22:45;1.2
401;19.11.2022;22:57;1.4
402;19.11.2022;23:09;1.4
403;19.11.2022;23:21;1.4
404;19.11.2022;23:33;1.1
405;19.11.2022;23:45;1.4
406;19.11.2022;23:57;1.4
407;20.11.2022;00:09;1.5
408;20.11.2022;00:21;1.5
409;20.11.2022;00:33;1.6
410;20.11.2022;00:45;1.7
411;20.11.2022;00:57;1.6
412;20.11.2022;01:09;1.7
413;20.11.2022;01:21;1.8
414;20.11.2022;01:33;1.8
415;20.11.2022;01:45;1.7
416;20.11.2022;01:57;1.9
417;20.11.2022;02:09;1.7
418;20.11.2022;02:21;1.8
419;20.11.2022;02:33;1.9
420;20.11.2022;02:45;2
421;20.11.2022;02:57;2.1
422;20.11.2022;03:09;2.2
423;20.11.2022;03:21;2.2
424;20.11.2022;03:33;2.1
425;20.11.2022;03:45;2.1
426;20.11.2022;03:57;2
427;20.11.2022;04:09;1.9
428;20.11.2022;04:21;2.1
429;20.11.2022;04:33;1.9
430;20.11.2022;04:45;2
431;20.11.2022;04:57;1.8
432;20.11.2022;05:09;1.9
433;20.11.2022;05:21;1.8
434;20.11.2022;05:33;1.8
435;20.11.2022;05:45;1.7
436;20.11.2022;05:57;1.9
437;20.11.2022;06:09;1.8
438;20.11.2022;06:21;1.6
439;20.11.2022;06:33;1.7
440;20.11.2022;06:45;1.6
441;20.11.2022;06:57;1.6
442;20.11.2022;07:09;1.5
443;20.11.2022;07:21;1.4
444;20.11.2022;07:33;1.5
445;20.11.2022;07:45;1.4
446;20.11.2022;07:57;1.3
447;20.11.2022;08:09;1.3
448;20.11.2022;08:21;1.5
449;20.11.2022;08:33;1.2
450;20.11.2022;08:45;1.3
451;20.11.2022;08:57;1.2
452;20.11.2022;09:09;1.3
453;20.11.2022;09:21;1.2
454;20.11.2022;09:33;1.2
455;20.11.2022;09:45;1.1
456;20.11.2022;09:57;1
457;20.11.2022;10:09;1
458;20.11.2022;10:21;1.1
459;20.11.2022;10:33;1
460;20.11.2022;10:45;1.2
461;20.11.2022;10:57;1.3
462;20.11.2022;11:09;1.2
463;20.11.2022;11:21;1
464;20.11.2022;11:33;1.1
465;20.11.2022;11:45;1
466;20.11.2022;11:57;1.2
467;20.11.2022;12:09;1.3
468;20.11.2022;12:21;1.4
469;20.11.2022;12:33;1.5
470;20.11.2022;12:45;1.4
471;20.11.2022;12:57;1.3
472;20.11.2022;13:09;1.4
473;20.11.2022;13:21;1.5
474;20.11.2022;13:33;1.5
475;20.11.2022;13:45;1.3
476;20.11.2022;13:57;1.3
477;20.11.2022;14:09;1.2
478;20.11.2022;14:21;1.1
479;20.11.2022;14:33;1
480;20.11.2022;14:45;1.1
481;20.11.2022;14:57;1.2
482;20.11.2022;15:09;1.1
483;20.11.2022;15:21;1.3
484;20.11.2022;15:33;1.3
485;20.11.2022;15:45;1.2
486;20.11.2022;15:57;1.2
487;20.11.2022;16:09;1.1
488;20.11.2022;16:21;1.1
489;20.11.2022;16:33;1.1
490;20.11.2022;16:45;1.3
491;20.11.2022;16:57;1.2
492;20.11.2022;17:09;1
493;20.11.2022;17:21;1
494;20.11.2022;17:33;1.1
495;20.11.2022;17:45;1.2
496;20.11.2022;17:57;1.3
497;20.11.2022;18:09;1.2
498;20.11.2022;18:21;1.3
499;20.11.2022;18:33;1.2
500;20.11.2022;18:45;1.2
501;20.11.2022;18:57;1.1
502;20.11.2022;19:09;1
503;20.11.2022;19:21;0.9
504;20.11.2022;19:33;1
505;20.11.2022;19:45;0.8
506;20.11.2022;19:57;0.9
507;20.11.2022;20:09;0.9
508;20.11.2022;20:21;1
509;20.11.2022;20:33;1.1
510;20.11.2022;20:45;1.2
511;20.11.2022;20:57;1
512;20.11.2022;21:09;1
513;20.11.2022;21:21;0.9
514;20.11.2022;21:33;1
515;20.11.2022;21:45;1.2
516;20.11.2022;21:57;1.1
517;20.11.2022;22:09;1.1
518;20.11.2022;22:21;0.9
519;20.11.2022;22:33;0.8
520;20.11.2022;22:45;0.7
521;20.11.2022;22:57;0.8
522;20.11.2022;23:09;1
523;20.11.2022;23:21;1.1
524;20.11.2022;23:33;0.9
525;20.11.2022;23:45;0.8
526;20.11.2022;23:57;0.7
527;21.11.2022;00:09;0.9
528;21.11.2022;00:21;1.2
529;21.11.2022;00:33;1.1
530;21.11.2022;00:45;1
531;21.11.2022;00:57;1.2
532;21.11.2022;01:09;0.9
533;21.11.2022;01:21;1.1
534;21.11.2022;01:33;0.9
535;21.11.2022;01:45;0.9
536;21.11.2022;01:57;0.9
537;21.11.2022;02:09;1.1
538;21.11.2022;02:21;1.1
539;21.11.2022;02:33;0.9
540;21.11.2022;02:45;1.1
541;21.11.2022;02:57;1
542;21.11.2022;03:09;1.1
543;21.11.2022;03:21;1
544;21.11.2022;03:33;1.2
545;21.11.2022;03:45;0.9
546;21.11.2022;03:57;1.2
547;21.11.2022;04:09;1.2
548;21.11.2022;04:21;1.1
549;21.11.2022;04:33;1.1
550;21.11.2022;04:45;0.8
551;21.11.2022;04:57;1
552;21.11.2022;05:09;0.8
553;21.11.2022;05:21;1.2
554;21.11.2022;05:33;1.2
555;21.11.2022;05:45;1
556;21.11.2022;05:57;0.8
557;21.11.2022;06:09;0.9
558;21.11.2022;06:21;0.8
559;21.11.2022;06:33;1.1
560;21.11.2022;06:45;1.1
561;21.11.2022;06:57;1.1
562;21.11.2022;07:09;1
563;21.11.2022;07:21;0.9
564;21.11.2022;07:33;0.9
565;21.11.2022;07:45;1
566;21.11.2022;07:57;1
567;21.11.2022;08:09;1.1
568;21.11.2022;08:21;1
569;21.11.2022;08:33;1.1
570;21.11.2022;08:45;0.9
571;21.11.2022;08:57;1.2
572;21.11.2022;09:09;1.2
573;21.11.2022;09:21;0.8
574;21.11.2022;09:33;1
575;21.11.2022;09:45;1.1
576;21.11.2022;09:57;1.2
577;21.11.2022;10:09;0.9
578;21.11.2022;10:21;1
579;21.11.2022;10:33;1.2
580;21.11.2022;10:45;0.8
581;21.11.2022;10:57;0.9
582;21.11.2022;11:09;1.1
583;21.11.2022;11:21;0.9
584;21.11.2022;11:33;0.9
585;21.11.2022;11:45;1.1
586;21.11.2022;11:57;0.9
587;21.11.2022;12:09;1
588;21.11.2022;12:21;0.9
589;21.11.2022;12:33;1
590;21.11.2022;12:45;1
591;21.11.2022;12:57;0.9
592;21.11.2022;13:09;1
593;21.11.2022;13:21;0.9
594;21.11.2022;13:33;1.2
595;21.11.2022;13:45;0.9
596;21.11.2022;13:57;1.1
597;21.11.2022;14:09;0.9
598;21.11.2022;14:21;1.1
599;21.11.2022;14:33;1
600;21.11.2022;14:45;0.8
601;21.11.2022;14:57;1.1
602;21.11.2022;15:09;1.2
603;21.11.2022;15:21;1
604;21.11.2022;15:33;1.1
605;21.11.2022;15:45;1.1
606;21.11.2022;15:57;1.1
607;21.11.2022;16:09;1
608;21.11.2022;16:21;1.1
609;21.11.2022;16:33;1
610;21.11.2022;16:45;1.1
611;21.11.2022;16:57;0.9
612;21.11.2022;17:09;0.9
613;21.11.2022;17:21;0.9
614;21.11.2022;17:33;0.8
615;21.11.2022;17:45;1.1
616;21.11.2022;17:57;0.8
617;21.11.2022;18:09;1.2
618;21.11.2022;18:21;1
619;21.11.2022;18:33;0.9
620;21.11.2022;18:45;1.1
621;21.11.2022;18:57;0.9
622;21.11.2022;19:09;1.1
623;21.11.2022;19:21;1.1
624;21.11.2022;19:33;0.9
625;21.11.2022;19:45;0.8
626;21.11.2022;19:57;0.9
627;21.11.2022;20:09;1.1
628;21.11.2022;20:21;1.1
629;21.11.2022;20:33;1.1
630;21.11.2022;20:45;1
631;21.11.2022;20:57;1.1
632;21.11.2022;21:09;0.8
633;21.11.2022;21:21;1.1
634;21.11.2022;21:33;0.8
635;21.11.2022;21:45;1.2
636;21.11.2022;21:57;1
637;21.11.2022;22:09;1
638;21.11.2022;22:21;0.8
639;21.11.2022;22:33;1.1
640;21.11.2022;22:45;1.1
641;21.11.2022;22:57;0.9
642;21.11.2022;23:09;0.9
643;21.11.2022;23:21;1.2
644;21.11.2022;23:33;1
645;21.11.2022;23:45;1.1
646;21.11.2022;23:57;0.9
647;22.11.2022;00:09;0.8
648;22.11.2022;00:21;1.1
649;22.11.2022;00:33;0.8
650;22.11.2022;00:45;1
651;22.11.2022;00:57;0.9
652;22.11.2022;01:09;0.8
653;22.11.2022;01:21;1.1
654;22.11.2022;01:33;1.1
655;22.11.2022;01:45;1
656;22.11.2022;01:57;1
657;22.11.2022;02:09;0.9
658;22.11.2022;02:21;0.7
659;22.11.2022;02:33;0.9
660;22.11.2022;02:45;1.1
661;22.11.2022;02:57;1.2
662;22.11.2022;03:09;0.7
663;22.11.2022;03:21;0.9
664;22.11.2022;03:33;1
665;22.11.2022;03:45;0.7
666;22.11.2022;03:57;1.1
667;22.11.2022;04:09;1
668;22.11.2022;04:21;0.7
669;22.11.2022;04:33;0.9
670;22.11.2022;04:45;1.1
671;22.11.2022;04:57;1.1
672;22.11.2022;05:09;1
673;22.11.2022;05:21;1.2
674;22.11.2022;05:33;1
675;22.11.2022;05:45;0.8
676;22.11.2022;05:57;1.1
677;22.11.2022;06:09;1.1
678;22.11.2022;06:21;0.8
679;22.11.2022;06:33;0.8
680;22.11.2022;06:45;0.9
681;22.11.2022;06:57;0.8
682;22.11.2022;07:09;1
683;22.11.2022;07:21;1.1
684;22.11.2022;07:33;0.9
685;22.11.2022;07:45;1
686;22.11.2022;07:57;1
687;22.11.2022;08:09;0.7
688;22.11.2022;08:21;0.7
689;22.11.2022;08:33;1.2
690;22.11.2022;08:45;0.8
691;22.11.2022;08:57;0.9
692;22.11.2022;09:09;0.8
693;22.11.2022;09:21;1.2
694;22.11.2022;09:33;0.9
695;22.11.2022;09:45;0.8
696;22.11.2022;09:57;0.9
697;22.11.2022;10:09;1
698;22.11.2022;10:21;0.8
699;22.11.2022;10:33;0.9
700;22.11.2022;10:45;0.8
701;22.11.2022;10:57;0.9
702;22.11.2022;11:09;0.8
703;22.11.2022;11:21;1.1
704;22.11.2022;11:33;1
705;22.11.2022;11:45;0.7
706;22.11.2022;11:57;0.8
707;22.11.2022;12:09;0.9
708;22.11.2022;12:21;1
709;22.11.2022;12:33;0.9
710;22.11.2022;12:45;0.7
711;22.11.2022;12:57;1
712;22.11.2022;13:09;1.2
713;22.11.2022;13:21;0.8
714;22.11.2022;13:33;0.9
715;22.11.2022;13:45;1.1
716;22.11.2022;13:57;1
717;22.11.2022;14:09;0.9
718;22.11.2022;14:21;1
719;22.11.2022;14:33;1.1
720;22.11.2022;14:45;1
721;22.11.2022;14:57;0.9
722;22.11.2022;15:09;0.7
723;22.11.2022;15:21;1.2
724;22.11.2022;15:33;1
725;22.11.2022;15:45;1.1
726;22.11.2022;15:57;1.2
727;22.11.2022;16:09;0.8
728;22.11.2022;16:21;1
729;22.11.2022;16:33;0.9
730;22.11.2022;16:45;1
731;22.11.2022;16:57;0.9
732;22.11.2022;17:09;0.9
733;22.11.2022;17:21;1.1
734;22.11.2022;17:33;1
735;22.11.2022;17:45;1
736;22.11.2022;17:57;0.9
737;22.11.2022;18:09;1.1
738;22.11.2022;18:21;0.7
739;22.11.2022;18:33;1
740;22.11.2022;18:45;1
741;22.11.2022;18:57;1
742;22.11.2022;19:09;1
743;22.11.2022;19:21;0.8
744;22.11.2022;19:33;1
745;22.11.2022;19:45;1
746;22.11.2022;19:57;0.9
747;22.11.2022;20:09;1.1
748;22.11.2022;20:21;0.7
749;22.11.2022;20:33;1.1
750;22.11.2022;20:45;1.1
751;22.11.2022;20:57;0.9
752;22.11.2022;21:09;0.7
753;22.11.2022;21:21;0.8
754;22.11.2022;21:33;1.1
755;22.11.2022;21:45;1
756;22.11.2022;21:57;0.9
757;22.11.2022;22:09;0.9
758;22.11.2022;22:21;1.1
759;22.11.2022;22:33;1
760;22.11.2022;22:45;1.1
761;22.11.2022;22:57;0.8
762;22.11.2022;23:09;0.8
763;22.11.2022;23:21;1.1
764;22.11.2022;23:33;1
765;22.11.2022;23:45;1
766;22.11.2022;23:57;1
767;23.11.2022;00:09;1.1
768;23.11.2022;00:21;1
769;23.11.2022;00:33;1.2
770;23.11.2022;00:45;1.1
771;23.11.2022;00:57;1
772;23.11.2022;01:09;1
773;23.11.2022;01:21;0.8
774;23.11.2022;01:33;1.1
775;23.11.2022;01:45;0.8
776;23.11.2022;01:57;1
777;23.11.2022;02:09;0.9
778;23.11.2022;02:21;0.8
779;23.11.2022;02:33;0.9
780;23.11.2022;02:45;0.9
781;23.11.2022;02:57;1.1
782;23.11.2022;03:09;1.1
783;23.11.2022;03:21;0.9
784;23.11.2022;03:33;0.9
785;23.11.2022;03:45;1
786;23.11.2022;03:57;1.2
787;23.11.2022;04:09;1
788;23.11.2022;04:21;1
789;23.11.2022;04:33;1.2
790;23.11.2022;04:45;1.2
791;23.11.2022;04:57;0.8
792;23.11.2022;05:09;0.8
793;23.11.2022;05:21;0.8
794;23.11.2022;05:33;1.2
795;23.11.2022;05:45;0.9
796;23.11.2022;05:57;1.1
797;23.11.2022;06:09;1.1
798;23.11.2022;06:21;1.1
799;23.11.2022;06:33;0.9
800;23.11.2022;06:45;0.8
801;23.11.2022;06:57;1
802;23.11.2022;07:09;1
803;23.11.2022;07:21;1
804;23.11.2022;07:33;1
805;23.11.2022;07:45;0.8
806;23.11.2022;07:57;0.8
807;23.11.2022;08:09;0.9
808;23.11.2022;08:21;1.1
809;23.11.2022;08:33;0.9
810;23.11.2022;08:45;1.2
811;23.11.2022;08:57;0.8
812;23.11.2022;09:09;1.1
813;23.11.2022;09:21;1.1
814;23.11.2022;09:33;0.9
815;23.11.2022;09:45;1.1
816;23.11.2022;09:57;1.1
817;23.11.2022;10:09;1
818;23.11.2022;10:21;1.2
819;23.11.2022;10:33;1
820;23.11.2022;10:45;0.9
821;23.11.2022;10:57;1.2
822;23.11.2022;11:09;1
823;23.11.2022;11:21;1
824;23.11.2022;11:33;1.2
825;23.11.2022;11:45;1.2
826;23.11.2022;11:57;1.2
827;23.11.2022;12:09;0.9
828;23.11.2022;12:21;1.1
829;23.11.2022;12:33;0.9
830;23.11.2022;12:45;0.8
831;23.11.2022;12:57;1.2
832;23.11.2022;13:09;1
833;23.11.2022;13:21;1
834;23.11.2022;13:33;1.2
835;23.11.2022;13:45;1.1
836;23.11.2022;13:57;1
837;23.11.2022;14:09;1.1
838;23.11.2022;14:21;1
